ensembl_transcript_id,external_gene_name
ENST00000469599,KDM5D
ENST00000317961,KDM5D
ENST00000541639,KDM5D
ENST00000382806,KDM5D
ENST00000492117,KDM5D
ENST00000440077,KDM5D
ENST00000415360,KDM5D
ENST00000485154,KDM5D
ENST00000478891,KDM5D
ENST00000447300,KDM5D
ENST00000383070,SRY
ENST00000643394,NRL
ENST00000646526,NRL
ENST00000647376,NRL
ENST00000642485,NRL
ENST00000645740,NRL
ENST00000643899,NRL
ENST00000646071,IRF9
ENST00000643458,IRF9
ENST00000642897,IRF9
ENST00000642362,IRF9
ENST00000644396,IRF9
ENST00000645875,IRF9
ENST00000643353,IRF9
ENST00000643109,IRF9
ENST00000645216,IRF9
ENST00000647272,IRF9
ENST00000647149,IRF9
ENST00000645044,IRF9
ENST00000646067,IRF9
ENST00000645993,IRF9
ENST00000645060,IRF9
ENST00000642776,NFATC4
ENST00000644376,NFATC4
ENST00000646650,NFATC4
ENST00000646184,NFATC4
ENST00000644758,NFATC4
ENST00000646364,NFATC4
ENST00000644166,NFATC4
ENST00000645116,NFATC4
ENST00000642571,NFATC4
ENST00000642423,NFATC4
ENST00000644025,NFATC4
ENST00000644240,NFATC4
ENST00000642401,NFATC4
ENST00000642302,NFATC4
ENST00000645680,NFATC4
ENST00000645931,NFATC4
ENST00000643679,NFATC4
ENST00000646941,NFATC4
ENST00000643468,NFATC4
ENST00000642182,NFATC4
ENST00000644182,NFATC4
ENST00000647345,NFATC4
ENST00000642650,NFATC4
ENST00000646023,NFATC4
ENST00000643941,NFATC4
ENST00000643559,NFATC4
ENST00000645587,NFATC4
ENST00000645397,NFATC4
ENST00000645795,NFATC4
ENST00000646652,NFATC4
ENST00000644583,NFATC4
ENST00000647017,NFATC4
ENST00000647367,NFATC4
ENST00000711173,ZBED1
ENST00000711172,ZBED1
ENST00000711171,ZBED1
ENST00000711170,ZBED1
ENST00000711169,ZBED1
ENST00000711168,ZBED1
ENST00000711145,SHOX
ENST00000711143,SHOX
ENST00000711142,SHOX
ENST00000711141,SHOX
ENST00000710433,DUX4
ENST00000710434,DUX4
ENST00000637517,DUX4
ENST00000710435,DUX4
ENST00000710436,DUX4
ENST00000629379,ZKSCAN7
ENST00000625422,ZKSCAN7
ENST00000629459,ZKSCAN7
ENST00000626497,ZKSCAN7
ENST00000627201,ZKSCAN7
ENST00000627156,ZKSCAN7
ENST00000626511,ZKSCAN7
ENST00000627589,ZKSCAN7
ENST00000672150,YBX2
ENST00000672514,YBX2
ENST00000671897,YBX2
ENST00000671716,YBX2
ENST00000673197,YBX2
ENST00000672563,YBX2
ENST00000672691,YBX2
ENST00000341423,HMGB1
ENST00000405805,HMGB1
ENST00000339872,HMGB1
ENST00000399489,HMGB1
ENST00000399494,HMGB1
ENST00000326004,HMGB1
ENST00000490788,HMGB1
ENST00000468384,HMGB1
ENST00000381020,CDX2
ENST00000548877,CDX2
ENST00000639962,ZBTB4
ENST00000639670,ZBTB4
ENST00000648720,KAT6B
ENST00000648605,KAT6B
ENST00000648955,KAT6B
ENST00000650575,KAT6B
ENST00000647630,KAT6B
ENST00000629233,KAT6B
ENST00000648639,KAT6B
ENST00000649483,KAT6B
ENST00000647838,KAT6B
ENST00000647965,KAT6B
ENST00000649728,KAT6B
ENST00000648699,KAT6B
ENST00000649574,KAT6B
ENST00000647976,KAT6B
ENST00000628523,KAT6B
ENST00000647786,KAT6B
ENST00000628038,KAT6B
ENST00000648040,KAT6B
ENST00000650336,KAT6B
ENST00000630001,KAT6B
ENST00000649924,KAT6B
ENST00000648135,KAT6B
ENST00000648502,KAT6B
ENST00000648090,KAT6B
ENST00000648004,KAT6B
ENST00000648246,KAT6B
ENST00000629879,KAT6B
ENST00000627572,KAT6B
ENST00000648420,KAT6B
ENST00000648972,KAT6B
ENST00000649967,KAT6B
ENST00000649533,KAT6B
