gene_id	GTEX-N7MT-0826-SM-EV794	GTEX-P78B-2326-SM-EZ6KO	GTEX-Q2AG-2326-SM-EZ6KY	GTEX-S32W-1526-SM-4AD6Z	GTEX-S341-1126-SM-4AD6T	GTEX-S4UY-1426-SM-4AD6Y	GTEX-T5JW-0726-SM-4DM6D	GTEX-TSE9-2826-SM-4DXTF	GTEX-U3ZN-1626-SM-4DXTZ
ENSG00000223972.5	0	0.1529	0.02881	0	0	0	0	0	0.02838
ENSG00000227232.5	10.56	5.629	3.563	5.993	3.328	7.331	5.284	8.648	3.399
ENSG00000278267.1	0	0	0	0	0	0	0	0.7966	0
ENSG00000243485.5	0	0	0	0	0	0.06352	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0.0538	0.1333	0
ENSG00000268020.3	0.07045	0.04495	0	0	0.05657	0	0	0	0.05842
ENSG00000240361.1	0.06296	0	0	0.05607	0.05056	0.05852	0.2093	0	0
ENSG00000186092.4	0	0.04113	0	0	0	0.05992	0.07144	0.05901	0.1069
ENSG00000238009.6	0.02877	0.03671	0	0	0.3696	0.08022	0	0	0
ENSG00000233750.3	0.1197	0.07634	0.02878	0.01522	0.05491	0.01589	0.09472	0.1408	0.01417
ENSG00000268903.1	4.39	2.35	3.76	4.468	3.777	2.113	6.428	9.327	4.225
ENSG00000269981.1	3.751	4.786	5.963	7.423	4.853	2.13	9.006	14.31	14.86
ENSG00000239906.1	0	0	0.1542	0	0	0	0.4061	0	0
ENSG00000241860.6	0.3535	0.09751	0.1206	0.3318	0.2071	0.2841	0.06352	0.1574	0.1822
ENSG00000222623.1	0	0	0	0	0	0	0	0	0.4718
ENSG00000241599.1	0	0	0	0	0	0	0	0	0
ENSG00000279928.2	0	1.524	1.136	0	0.5002	0	0	0.2851	0
ENSG00000279457.4	23.89	18.81	14.19	6.036	4.66	8.702	9.155	16.4	5.444
ENSG00000273874.1	0	0	0	0	0	0	0	0.7966	0
ENSG00000228463.9	0.2479	0.601	0.8068	0.1913	1.035	0.2611	0.293	0.2572	0.137
ENSG00000236679.2	0.3074	0.09807	0.3881	0.1369	0.1234	0	0	0.1407	0
ENSG00000236743.1	0	0	0	0	0	0	0	0	0
ENSG00000236601.2	0	0	0	0	0.06278	0	0.08664	0	0
ENSG00000237094.11	0.1255	0.5427	0.7277	0.3477	0.5039	0.661	0.2473	0.9701	0.2312
ENSG00000269732.1	0	0	0	0.1452	0.1309	0.1515	0	0	0
ENSG00000278566.1	0	0.04021	0	0.05613	0.05061	0	0	0.1154	0.05226
ENSG00000233653.3	0	0.01541	0	0	0	0.02245	0.08031	0.04422	0.02003
ENSG00000250575.1	0.04777	0	0	0	0	0.08879	0	0.04372	0
