gene_id	GTEX-OHPK-2326-SM-3MJH2	GTEX-PLZ4-2326-SM-EYYV5	GTEX-S32W-1326-SM-4AD5Q	GTEX-S341-0826-SM-4AD73	GTEX-SE5C-0926-SM-4BRUF	GTEX-T5JW-0326-SM-4DM6J	GTEX-T6MO-1026-SM-4DM72	GTEX-TSE9-2326-SM-EZ6ME	GTEX-U3ZN-1126-SM-4DXUL
ENSG00000223972.5	0	0	0	0	0	0.03052	0	0.04161	0.03319
ENSG00000227232.5	4.078	6.134	8.518	3.676	4.545	4.768	13.05	7.151	6.611
ENSG00000278267.1	0	0	0	0	0	0	0	0	0
ENSG00000243485.5	0	0.06189	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0.05212	0	0.0497	0	0.04707
ENSG00000268020.3	0	0	0	0	0	0	0	0.04283	0
ENSG00000240361.1	0.03601	0.05701	0	0.05466	0.1352	0	0	0	0.1221
ENSG00000186092.4	0.03687	0	0.07001	0	0	0	0	0	0.06251
ENSG00000238009.6	0	0	0	0.7244	0.09265	0	0	0	0.05579
ENSG00000233750.3	0.009777	0	0.03713	0.2226	0.1468	0.03048	0.035	0.08313	0.01657
ENSG00000268903.1	3.811	6.956	10.56	18.71	11.44	4.822	8.345	11.1	7.144
ENSG00000269981.1	8.819	6.039	17.43	25.15	20.8	6.131	16	16.59	9.294
ENSG00000239906.1	0	0.4978	0.199	0.6363	0	0	0.7503	0	1.244
ENSG00000241860.6	0.02185	0.3201	0.5084	0.05806	0.09229	0.2215	0.1369	0.2439	0.3057
ENSG00000222623.1	0	0	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0	0
ENSG00000279928.2	0	0	0	0	0	0	0.3189	0.8836	0
ENSG00000279457.4	3.562	19.72	8.419	3.2	7.367	8.649	18.69	17	13.47
ENSG00000273874.1	0	0	0	0	0	0	0	0	0
ENSG00000228463.9	0.2647	0.2694	0.5205	1.177	0.3903	0.2505	0.4399	0.5023	0.8012
ENSG00000236679.2	0.08791	0.1392	0	0.1335	0.165	0	0.1574	0.1869	0
ENSG00000236743.1	0.05007	0	0	0	0	0	0.08962	0	0
ENSG00000236601.2	0	0	0	0	0	0	0	0	0.0758
ENSG00000237094.11	0.08773	1.528	0.6815	0.339	0.1347	0.2238	0.6281	0.8985	0.7166
ENSG00000269732.1	0.09324	0	0	0	0	0.1454	0	0	0
ENSG00000278566.1	0.03605	0	0	0	0	0	0	0	0.1222
ENSG00000233653.3	0.01382	0	0	0	0.02593	0	0	0.01468	0.02342
ENSG00000250575.1	0.02732	0.08651	0.1037	0.04147	0.05127	0.04259	0	0.02903	0.09262
ENSG00000278757.1	0	0	0	0	0	0	0	0	0
ENSG00000230021.8	0.1082	0.02856	0.1199	0.01369	0.05078	0.1406	0.06457	0.01917	0
ENSG00000235146.2	0	0	0	0	0	0	0	0	0
ENSG00000225972.1	2184	5.186	3.283	1929	5.977	5.957	6.026	5.415	5.553
ENSG00000225630.1	510.5	385.6	17.98	443.1	382.1	571	567.9	546.9	747.7
ENSG00000237973.1	1743	6.745	44.6	98.41	45.79	28.52	34.79	8.659	66.97
ENSG00000229344.1	9.33	10.14	25.16	5.575	7.545	8.124	7.64	5.855	15.65
ENSG00000240409.1	27.12	3.329	11.18	5.744	7.892	9.176	8.279	4.022	11.4
ENSG00000248527.1	4471	1278	56.06	2146	2259	2549	2192	2880	2879
ENSG00000198744.5	12.52	9.128	9.417	6.211	11.64	10.82	52.82	9.356	15.55
ENSG00000268663.1	0	0	0	0	0	0	0.1429	0	0.1353
ENSG00000273547.1	0.03605	0	0	0	0	0.05619	0	0	0.06111
ENSG00000283574.1	0	0	0	0	0	0	0	0	0
ENSG00000229376.3	0.1242	0.2186	0.367	0.08382	0.1036	0.1506	0.173	0	0.3276
ENSG00000228327.3	1.252	2.4	5.606	1.238	2.045	2.199	3.071	2.444	7.271
ENSG00000223181.1	0	0	0	0	0	0	0	0	0
ENSG00000229905.1	0.1485	0	0	0	0	0	0	0	0
ENSG00000237491.8	0.7178	0.5148	3.67	0.9965	0.5873	0.8225	0.8126	0.9911	2.288
ENSG00000230092.7	1.845	0.5037	2.779	2.028	1.314	1.488	0.911	1.217	5.501
ENSG00000177757.2	1.074	0.4335	1.8	0.9592	1.226	0.5582	0.6032	0.5372	3.678
ENSG00000228794.8	8.479	7.545	4.576	9.154	7.906	6.858	9.401	6.099	3.241
ENSG00000225880.5	2.708	13.21	18.05	3.104	2.437	4.049	5.094	18.38	15.36
ENSG00000230368.2	0	0.1898	0	0.07278	0	0	0.08581	0.05095	0.5283
ENSG00000234711.1	0.08255	0.06536	0.2351	0.1253	0	0	0.07388	0.1316	0.2099
ENSG00000283040.1	0	0	0	0.09957	0	0	0	0	0
ENSG00000272438.1	1.639	1.985	3.479	1.171	0	0.1503	0.863	4.202	0.1635
ENSG00000230699.2	1.342	1.614	2.352	0.8619	0.3391	0.3017	0.9932	3.072	0.1531
ENSG00000241180.1	0	0	0	0	0	0	0	0	0
ENSG00000223764.2	14.23	9.029	13.28	11.87	8.553	9.573	15.96	33.44	6.94
ENSG00000187634.11	11.37	18.24	24.38	41.62	14.78	26.22	58.59	34.16	10.83
ENSG00000188976.10	57.06	71.97	95.2	61.12	75.64	80.56	75.63	73.19	77.47
ENSG00000187961.13	4.955	22.01	22.73	11.92	14.12	14.43	26.44	30.3	10.88
ENSG00000187583.10	0.6611	0.6071	7.105	0.4616	2.903	2.865	3.006	2.557	2.062
ENSG00000187642.9	0.9989	1.417	2.114	1.516	1.055	2.611	2.682	1.084	0.8114
ENSG00000272512.1	2.109	6.32	6.747	7.217	10.11	3.617	9.759	2.104	53.89
ENSG00000188290.10	18	57.41	37.88	26.18	33.84	64.94	69.67	72.12	72.83
ENSG00000187608.8	13.26	30.29	22.27	20.25	51.75	62.55	13.37	23.51	36.61
ENSG00000231702.2	0	3.633	0	0	1.615	0.4472	1.027	0.3049	0.4863
ENSG00000224969.1	0.7905	3.072	1.092	1.418	0.9442	1.12	4.888	0.9165	2.315
ENSG00000188157.14	18.81	22.89	56.7	17.61	46.72	30.28	33.35	17.95	151.3
ENSG00000217801.9	0.1157	0.2355	8.85	0.5519	0.9926	0.9275	1.331	3.179	5.379
ENSG00000273443.1	0	0.2277	0.2731	0	0.27	0	0.1716	0	0.08128
ENSG00000237330.2	0.03559	0.02818	0.3717	0.05403	0.2338	0.02774	0.3185	0.01891	0.6034
ENSG00000131591.17	9.175	9.289	20.6	9.783	8.733	13.4	15.85	14.87	25.32
ENSG00000223823.1	0.02089	0.06616	4.999	0	0.3137	0.228	0.0748	0.1776	1.594
ENSG00000207730.3	0	0	1.353	0	0.6687	0	0	0	2.416
ENSG00000207607.3	0	0	2.142	0	0	0	0	0	0.6376
ENSG00000198976.1	0	0	2.323	0.619	0	1.907	0	0	2.074
ENSG00000272141.1	0.2058	0	51.38	5.154	4.956	15.45	8.287	5.103	63.78
ENSG00000205231.1	0.07118	0.07514	8.267	0.3242	0.4899	1.221	1.486	1.097	11.81
ENSG00000162571.13	0.09792	0.1206	59.39	1.107	2.246	9.193	6.095	9.355	82.82
ENSG00000186891.13	1.754	0.5085	2.674	3.338	1.623	9.321	1.68	3.492	0.7539
ENSG00000186827.10	3.783	3.612	2.468	5.261	2.331	5.358	3.205	2.333	1.763
ENSG00000078808.16	183	154.7	180.3	145.5	180.3	186.9	172.5	163.6	148.3
ENSG00000176022.4	18.59	10.38	25.09	17.3	27.34	23.75	23.43	6.283	18.1
ENSG00000184163.3	1.666	3.207	3.598	1.984	1.533	2.088	4.094	4.34	4.763
ENSG00000260179.1	0.8907	0.5504	0.825	1.121	0.6116	0.8128	1.867	1.131	1.252
ENSG00000160087.20	29.55	27.54	42.72	31.13	30.69	38.36	38.4	30.51	35.3
ENSG00000230415.1	6.136	15.25	18.54	8.714	5.201	11.01	13.94	12.34	24.38
ENSG00000162572.20	9.528	30.98	36.12	19.85	10.65	25.04	20.2	23.16	55.36
ENSG00000131584.18	44.34	95.24	72.18	67.11	66.13	132.4	125.2	94.24	32.97
ENSG00000278073.1	0	0	0	0	0	0	0	0	0
ENSG00000169972.11	15.56	16.85	27.1	21.86	21.9	22.2	32.41	22.26	29
ENSG00000127054.20	72.44	136.5	105.8	90.93	63.81	90.21	142.5	127.9	141.7
ENSG00000283712.1	0	0	0	0	0	0	0	0	0
ENSG00000240731.1	27.35	57.31	51.93	43.02	26.94	36.72	74.32	58.8	60.44
ENSG00000224051.6	31.54	27.74	29.07	24.77	18.42	23.31	31.95	16.48	32.93
ENSG00000169962.4	0.7163	1.749	1.984	1.767	0.8217	1.194	1.478	0.4758	2.463
ENSG00000107404.19	64.1	117.2	116.3	76.22	67.95	84.85	114.6	113.1	137.7
ENSG00000284372.1	0	0	0	0	0	0	0	0.6097	0
ENSG00000162576.16	148.1	154.7	137.5	192.4	130.8	127.8	164.7	230.4	107.6
ENSG00000175756.13	62.06	75.78	92.23	68.44	79.02	103.9	73.33	60.48	93.96
ENSG00000223663.2	1.383	0.146	0.8756	0	0.6924	0.2875	0.4952	0.09802	0.4691
ENSG00000221978.11	214.9	369.8	348.8	247.9	184.9	316.2	424.3	380.1	365.9
ENSG00000224870.6	18.37	16.45	25.4	11.48	14.1	23.78	21.37	15.83	22.16
ENSG00000242485.5	79.4	79.85	89.89	69.39	80.25	128.3	85.07	76.08	70.71
ENSG00000272455.1	2.534	5.771	23.55	1.619	3.921	9.562	10.22	12.52	22.45
ENSG00000235098.8	7.748	10.03	79.62	20.49	16.76	37.14	22.97	32.09	157.2
ENSG00000225905.1	3.036	3.605	14.7	7.143	2.279	14.2	6.52	4.678	24.19
ENSG00000205116.3	0.4128	0.1089	3.396	0.8354	0.3874	0.9652	0.6157	0.1462	2.449
ENSG00000225285.1	6.523	5.983	25.38	10.08	6.569	21.58	9.184	6.51	13.96
ENSG00000179403.11	29.14	34.13	65.07	43.35	50.32	78.03	43.06	33.47	45.43
ENSG00000215915.9	0.3421	6.222	11.77	3.408	5.976	4.143	3.03	5.388	1.874
ENSG00000160072.19	18.48	41.55	62.18	27.11	35.76	41.98	44.61	45.38	26.05
ENSG00000197785.13	10.32	14.55	30.9	13.52	27.6	22.1	23.19	19.62	25.05
ENSG00000205090.8	9.394	19.07	8.523	11.65	5.754	8.106	16.02	18.17	6.57
ENSG00000160075.11	42.02	50.43	53.31	51.61	52.32	58.61	57.23	51.49	58.93
ENSG00000215014.4	1.53	0.2551	1.377	0.5625	1.179	1.155	0.6344	0.9075	4.124
ENSG00000274481.1	0.08462	0	0	0	0	0.1319	0	0	0
ENSG00000228594.3	0.7792	0.1028	4.87	1.577	5.637	0.5568	0.6683	0.2588	1.596
ENSG00000272106.1	17.83	12.08	23.28	17.65	9.36	19.44	21.55	18.41	34.32
ENSG00000197530.12	33.43	57.33	60.23	47.98	34.94	46.45	80.73	79.09	70.52
ENSG00000189409.13	1.729	1.557	1.024	3.612	3.84	5.489	4.741	1.585	0.6722
ENSG00000248333.8	41.24	46.79	29.89	32.05	31.59	32.86	46.03	43.7	30.91
ENSG00000272004.1	0	0	0.5021	0	0	0.8245	0	0.281	0.4483
ENSG00000189339.11	33.58	56.31	28.61	29.34	19.2	17.74	37.81	49.54	66.56
ENSG00000269737.2	2.586	3.624	6.325	2.796	1.991	2.263	6.595	4.588	8.959
ENSG00000215914.4	1.398	0.1581	1.264	1.617	0.8121	0.6226	2.621	1.662	1.58
ENSG00000008128.22	28.66	38.07	25.65	21.38	19.91	14.57	41.36	37.97	29.3
ENSG00000227775.3	7.193	10.33	28.44	6.245	8.077	10.35	16.04	11.36	17.2
ENSG00000215790.6	8.571	8.576	9.014	5.062	3.468	2.666	8.402	8.646	14.33
ENSG00000008130.15	52.75	59.28	45.58	50.76	51.01	45.77	75.88	59.8	28.32
ENSG00000078369.17	219.3	267.3	163.9	205.3	239.1	267.9	225	188.4	136.1
ENSG00000231050.1	0.523	0.3549	1.277	0.4537	0.4908	0.1165	0.6687	1.35	3.863
ENSG00000169885.9	0.7128	1.868	1.68	1.045	1.2	0.5365	1.584	1.803	0.6667
ENSG00000178821.12	1.039	0.8223	12.99	1.714	1.229	3.062	1.9	3.048	16.92
ENSG00000142609.17	0.03748	0.2472	49.99	0.6068	1.923	3.379	2.381	9.559	96.78
ENSG00000233542.1	0.1386	0	0.06578	0.05259	0	0.108	0.06201	0.07364	0.05873
ENSG00000187730.8	0.4281	0.5135	0.3202	0.1969	0.6818	0.8494	0.2322	0.193	0.2419
ENSG00000226969.1	0	0	0.2389	0	0	0	0	0	0.2133
ENSG00000067606.16	0.9121	0.8606	4.804	2.229	1.829	1.237	1.521	1.574	9.341
ENSG00000271806.1	0.008612	0.05455	0.2453	0.1177	0.194	0.02685	0.06166	0.03661	0.4526
ENSG00000182873.5	8.385	7.531	11.44	9.71	6.388	6.488	11.23	10.89	9.627
ENSG00000162585.16	11.84	21.53	19.89	12.8	15.08	19.38	17.75	12.96	24.78
ENSG00000234396.3	0.7358	0.932	0.2794	0.2234	0	1.376	1.054	0.6256	2.495
ENSG00000157933.9	111.2	71.01	62.29	98.88	80.43	87.7	120.7	72.88	49.99
ENSG00000116151.13	3.913	4.082	21.91	3.97	2.654	5.51	6.484	10.29	46.13
ENSG00000272161.1	0.2746	1.413	4.824	0.6253	0.5154	1.07	0.7373	1.167	8.613
ENSG00000269896.2	3.009	4.275	24.54	2.668	2.982	3.661	4.027	2.645	16.23
ENSG00000272420.1	1.847	1.604	7.581	1.99	1.678	3.53	2.027	5.003	5.657
ENSG00000157916.19	58.05	65.1	79.38	60.97	66.66	57.99	72.84	65.02	70.31
ENSG00000157911.9	10.72	11.59	15.51	11.64	15.44	17.05	9.66	7.591	22.55
ENSG00000149527.17	0.6989	0.5101	10.07	1.31	1.629	2.162	5.307	3.557	35.42
ENSG00000224387.1	0.3719	0	0.565	0	0	0	0.1332	0	1.766
ENSG00000229393.1	0.1317	0	0.125	0	0.1236	0	0	0.21	2.009
ENSG00000157881.13	16.77	20.73	22.01	16.18	19.33	16.98	18.63	20.94	19.26
ENSG00000197921.5	0.5183	1.067	0.09842	0.07868	1.362	0.8484	0.8814	0.3856	0.4394
ENSG00000272449.1	1.631	1.883	3.033	3.663	2.551	4.344	3.71	2.817	6.107
ENSG00000238164.6	1.531	4.727	7.134	1.743	1.437	2.098	2.775	4.007	8.63
ENSG00000157873.17	78.78	158.5	123.5	99.26	79.14	89.31	109.8	189.6	209.7
ENSG00000225931.3	0.4175	1.735	0.7928	0.3565	0.09796	0.3255	0.8875	1.137	4.291
ENSG00000228037.1	1.244	7.191	1.643	3.119	1.421	0.8429	1.936	8.792	10.54
ENSG00000157870.14	11.38	19.46	42.58	14.4	21.82	34	18.59	13.55	67.85
ENSG00000142606.15	0.1297	0.8027	1.298	0.519	0.7523	1.029	0.5065	1.19	4.397
ENSG00000237058.1	0	0	0	0	0	0	0	0	0.5313
ENSG00000215912.12	1.647	0.652	8.984	1.665	1.078	2.58	1.339	3.248	29.77
ENSG00000283259.1	0	0	3.368	0.197	0.4059	0.3034	0.5033	1.425	6.38
ENSG00000233234.1	0	0	0	0	0	0	0	0	0
ENSG00000231630.1	0.0789	0	0	0	0	0	0	0	0.1338
ENSG00000169717.6	0	0	0.2714	0.1085	0	0	0	0	0.323
ENSG00000177133.10	4.086	8.68	4.637	2.67	2.189	2.356	1.818	1.227	3.279
ENSG00000142611.16	5.588	6.084	3.101	3.237	3.127	3.506	3.347	2.294	1.533
ENSG00000283572.1	0	0	0	0	0	0	0	0	0
ENSG00000226286.1	0.2165	0	0	0.1096	0	0	0	0	0
ENSG00000279839.1	0.1517	0	0	0	0	0.03942	0	0.06719	0
ENSG00000272235.1	0.03912	0.1858	0.03714	0.08907	0	0.09147	0.105	0	0.03316
ENSG00000130762.14	0.338	0.6999	10.94	1.947	2.88	3.446	2.886	3.841	13.36
ENSG00000272088.1	0.443	0	2.86	2.421	0.6652	0.5525	1.269	0.7534	0.6008
ENSG00000162591.15	61.99	39.08	75.12	160.1	34.2	81.02	80.99	35.14	31.1
ENSG00000207776.1	0	0	0	0	0	0	0.6311	0	0
ENSG00000238260.1	1.687	8.53	12.09	0.413	0.6128	1.612	3.994	5.032	17.07
ENSG00000158109.14	107.3	94.04	78.57	83.26	50.9	53.77	83.85	67.92	102.1
ENSG00000116213.15	27.18	24.17	32.54	25.71	22.43	23.47	30.59	29.2	28.97
ENSG00000078900.14	0.1776	0.2272	23.09	1.037	0.8848	2.045	1.578	2.868	61.11
ENSG00000227589.1	0	0	0.08524	0	0	0	0	0	0.8371
ENSG00000235131.1	0	0	2.38	0	0	0.1503	0.3452	0	0.6539
ENSG00000227372.11	28.18	48.71	37.1	28.39	21.54	23.95	39.33	37.55	29.04
ENSG00000162592.9	0.0146	0.1156	0.05545	0.04433	0.02741	0.387	0.2875	0.1397	0.3466
ENSG00000235169.7	1.668	7.078	4.581	4.255	2.464	6.195	4.191	5.845	3.489
ENSG00000130764.9	47.82	33.42	47.9	43.52	32.23	51.77	52.09	35.14	41.13
ENSG00000266075.2	0.5698	2.165	0.4328	2.422	0.4278	1.777	1.02	1.453	1.546
ENSG00000272153.1	3.516	7.767	9.47	3.351	3.069	6.882	8.195	6.691	10.26
ENSG00000116198.12	11.79	14.89	19.47	10.94	9.832	8.964	16.54	16.06	17.64
ENSG00000169598.15	8.112	15.25	14.68	9.297	6.069	6.953	11.46	11.35	12.06
ENSG00000198912.10	23.9	26.2	33.81	21.58	22.78	19.72	24.45	18.61	23.24
ENSG00000236423.5	0.03331	0.2637	0.3479	0.05057	0.3126	0.06492	0.05963	0.0177	0.7483
ENSG00000233304.6	0.04346	0.02753	0	0	0	0.0813	0.01556	0	0.01474
ENSG00000226374.2	0.09138	0.1736	0	0	0.06861	0.1709	0.2617	0	0
ENSG00000229280.1	0	0.4322	0	0	0	0	0	0	0
ENSG00000235054.3	0	0	0	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0	0	0	0
ENSG00000232596.2	0	0	0	0	0	0	0	0	0
ENSG00000196581.10	0.4939	1.106	4.502	2.154	0.5377	1.034	1.377	5.927	1.17
ENSG00000231510.1	0	0	0	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0.06219	0.0714	0	0
ENSG00000283356.1	0	0	0	0	0	0	0	0	0
ENSG00000236948.2	0.06182	0.1958	0	0.4223	0.3481	0.2891	0.2213	1.216	0
ENSG00000264341.1	0	0	0	0	0	0	0	0	0
ENSG00000264101.1	0	0	0	0	0	0	0	0	0
ENSG00000131697.17	6.11	6.63	19.79	5.747	9.543	6.284	6.706	9.972	44.82
ENSG00000069424.14	8.621	4.609	9.361	9.585	15.7	6.288	5.623	8.419	18.72
ENSG00000116254.17	1.109	1.366	0.9748	0.5715	0.2698	0.6296	1.011	1.302	0.3307
ENSG00000116251.9	377.2	600.8	229.5	323.2	203.1	237.6	306.9	525	190.2
ENSG00000226944.1	2.239	0.2836	3.06	0.4078	1.345	0.8375	0.1603	1.332	3.34
ENSG00000158286.12	9.498	23.58	94.93	12.81	14.54	15.84	23.29	63.61	47.29
ENSG00000116237.15	39.53	33.06	47.5	30.42	45.2	43.88	31.47	28.86	30.64
ENSG00000225077.2	0.04017	0	0.07628	0.06099	0.07541	0	0.1438	0.0427	0.03405
ENSG00000173673.7	0	0	0	0	0	0	0.08692	0.05161	0
ENSG00000158292.6	7.695	32.21	14.99	20.18	24.47	34.32	27.78	22.42	14.07
ENSG00000097021.19	19.86	18.97	14.75	14.17	10.88	14.34	15.52	11.34	5.254
ENSG00000069812.11	0	0.03965	6.407	0.2756	0.3172	0.8588	1.445	0.7451	15.37
ENSG00000187017.15	0.1934	0.5158	23.71	0.8113	1.223	4.34	3.471	9.607	49.13
ENSG00000265392.1	0	0	0	0	0	0	0	0	0
ENSG00000231868.1	0	0	1.158	0	0.1908	0.1585	0	0.3241	1.551
ENSG00000215788.9	7.729	24.85	69.21	19.1	10.32	18.46	26.31	36.07	65.73
ENSG00000171680.21	9.489	17.97	31.15	16.69	9.369	16.18	22.48	23.35	34.56
ENSG00000162408.10	11.55	8.165	14.44	13.89	8.341	12.47	13.21	10.05	12.06
ENSG00000253022.1	0	0	0	0.4629	0	0	0	0	0
ENSG00000229519.2	0.6753	0.2673	0.3205	0	0.3169	0.7895	0.7554	0	0.2862
ENSG00000173662.20	0.1873	0.1112	0.6223	0.4975	0.08787	0.3102	0.1676	0.02488	1.29
ENSG00000204859.12	31.52	47.64	49.63	33.64	27.64	30.85	36.38	36.53	45.32
ENSG00000162413.16	67.01	43.89	32.81	38.77	22.49	35.59	65.29	35.66	28
ENSG00000116273.5	35.44	48.25	27.5	37.44	27.72	36.9	59.98	50.48	24.44
ENSG00000041988.15	21.69	33.65	21.49	12.67	10.32	18.66	27.4	23.91	17.22
ENSG00000007923.15	21.38	20.99	23.4	18.54	20.11	24.04	22.39	19.96	21.67
ENSG00000228750.6	0	0	0	0	0	0	0.02769	0	0
ENSG00000237436.1	0.9787	0.2583	1.239	0.2476	0.3062	2.034	0.146	0.5201	1.383
ENSG00000171735.18	8.984	9.967	6.412	6.084	5.743	7.747	10.21	7.712	3.918
ENSG00000227950.1	0	0	0	0.3593	0	0	0	0.2516	0
ENSG00000237365.1	0	0	0	0	0	0	0	0	0
