Sample_ID,Tissue
GTEX-OIZF-1926-SM-7PBZS,bladder
GTEX-P44H-2226-SM-E9U4P,bladder
GTEX-QEL4-1826-SM-EZ6KU,bladder
GTEX-RN64-2426-SM-EZ6L2,bladder
GTEX-RU72-2526-SM-EWRML,bladder
GTEX-S32W-1126-SM-4AD5V,bladder
GTEX-S33H-1926-SM-EYYVH,bladder
GTEX-S3XE-1226-SM-4AD4L,bladder
GTEX-S4Q7-0926-SM-4AD5D,bladder
GTEX-S4UY-0926-SM-4AD6O,bladder
GTEX-S95S-0626-SM-EZ6L8,bladder
GTEX-SE5C-1026-SM-4BRUG,bladder
GTEX-SNMC-0826-SM-4DM66,bladder
GTEX-SNOS-0526-SM-4DM54,bladder
GTEX-T2YK-2326-SM-EZ6LA,bladder
GTEX-T5JW-1026-SM-EZ6LR,bladder
GTEX-T6MN-2226-SM-EVYAM,bladder
GTEX-TMMY-1526-SM-4DXST,bladder
GTEX-U3ZM-0826-SM-4DXU6,bladder
GTEX-U3ZN-1226-SM-4DXUD,bladder
GTEX-U4B1-1226-SM-4DXT7,bladder
GTEX-1117F-2426-SM-5EGGH,uterus
GTEX-113JC-2226-SM-5EGJG,uterus
GTEX-11DXX-1526-SM-5H115,uterus
GTEX-11EM3-1926-SM-5987U,uterus
GTEX-11EMC-1826-SM-5A5JT,uterus
GTEX-11GSP-2426-SM-5N9BD,uterus
GTEX-11I78-2126-SM-5A5K8,uterus
GTEX-11P81-1626-SM-5BC52,uterus
GTEX-11ZTS-2326-SM-5EQMY,uterus
GTEX-11ZTT-1726-SM-5EQL4,uterus
GTEX-12WSD-2826-SM-59HKT,uterus
GTEX-12WSG-2126-SM-5EGJ7,uterus
GTEX-12WSK-2026-SM-5CVNB,uterus
GTEX-12ZZX-2126-SM-5LZVL,uterus
GTEX-1313W-2826-SM-5P9G1,uterus
GTEX-131XG-2026-SM-5GCN5,uterus
GTEX-131YS-2326-SM-5IJFJ,uterus
GTEX-132AR-1526-SM-5KM1L,uterus
GTEX-1399S-2226-SM-5IFEW,uterus
GTEX-1399U-1326-SM-5IJET,uterus
GTEX-139D8-2526-SM-5N9G3,uterus
GTEX-13D11-1226-SM-5IFGA,uterus
GTEX-13FTX-1026-SM-5J2O5,uterus
GTEX-13N11-1126-SM-5KM41,uterus
GTEX-13OVI-1026-SM-5L3EM,uterus
GTEX-13OVJ-2326-SM-5IJGA,uterus
GTEX-13PL7-2026-SM-5IFGK,uterus
GTEX-13QBU-1626-SM-5LU4S,uterus
GTEX-13S7M-1726-SM-5RQK3,uterus
GTEX-13U4I-1926-SM-5LU39,uterus
GTEX-13VXT-1626-SM-5IJES,uterus
GTEX-13W3W-1426-SM-5LU56,uterus
GTEX-145LS-2426-SM-5TDCZ,uterus
GTEX-145ME-1326-SM-5O98Q,uterus
GTEX-14AS3-1826-SM-5TDD8,uterus
GTEX-14BIM-2226-SM-5SI8Y,uterus
GTEX-14BIN-1526-SM-73KZ7,uterus
GTEX-14BMU-1826-SM-5RQII,uterus
GTEX-14JG6-0826-SM-6AJB9,uterus
GTEX-14PHW-2426-SM-69LPU,uterus
GTEX-14PJ6-1526-SM-6AJ9M,uterus
GTEX-14PJM-2826-SM-69LPV,uterus
GTEX-14PKV-1426-SM-5YYB9,uterus
GTEX-15CHC-2026-SM-6EU1Z,uterus
GTEX-15DZA-1326-SM-68722,uterus
GTEX-15ER7-2426-SM-793B9,uterus
GTEX-15ETS-1526-SM-6LPKM,uterus
GTEX-15FZZ-1026-SM-6AJBI,uterus
GTEX-16A39-0726-SM-7KUEB,uterus
GTEX-16NGA-0626-SM-72D72,uterus
GTEX-1A32A-2826-SM-72D5S,uterus
GTEX-1A8FM-2326-SM-7MKGC,uterus
GTEX-1AMEY-0626-SM-72D6B,uterus
GTEX-1B932-2726-SM-731ER,uterus
GTEX-1B97J-0226-SM-79392,uterus
GTEX-1C475-0626-SM-73KV9,uterus
GTEX-1CAMS-2026-SM-79395,uterus
GTEX-1CAV2-1426-SM-7MGX6,uterus
