"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation_status"
"ENSG00000000971",36.0977085814338,-3.23385175658533,0.23800992824876,-13.5870456345225,4.77988163530324e-42,9.78385234512177e-40,"Downregulated"
"ENSG00000001084",19.4544749429143,-2.14102693958355,0.134193080041364,-15.95482374295,2.63717126490143e-57,1.6549843581977e-54,"Downregulated"
"ENSG00000002933",40.1489796034169,-1.59266923983921,0.190511935717084,-8.35994466091811,6.27476830933054e-17,1.32179811364533e-15,"Downregulated"
"ENSG00000003096",21.8947367316519,1.50165891698849,0.172414037894137,8.70960935275185,3.04923816580667e-18,7.33512608141901e-17,"Upregulated"
"ENSG00000004468",0.743460555707334,-1.8063243765293,0.305460218576011,-5.91345211808591,3.35010947066615e-09,2.82847503918986e-08,"Downregulated"
"ENSG00000005020",10.5752180447763,-1.92532284927303,0.129145833142457,-14.9081298437965,2.9181183806065e-50,1.07514777083662e-47,"Downregulated"
"ENSG00000005073",190.154269220739,2.15926369068052,0.174724500497989,12.3581048137286,4.40417767983151e-35,5.06063941528809e-33,"Upregulated"
"ENSG00000005187",43.3807511097943,3.13301950340818,0.345611404809156,9.06515080177465,1.24432008677927e-19,3.44619939455822e-18,"Upregulated"
"ENSG00000005469",14.3932089128348,-1.54381847168989,0.13044754791218,-11.8347833776777,2.58008762070616e-32,2.37651038456915e-30,"Downregulated"
"ENSG00000005471",0.278682497190709,-1.98896323466786,0.475350816893344,-4.18420072919351,2.86171167930129e-05,0.000131298008019232,"Downregulated"
"ENSG00000005961",4.255422671724,2.41447316673166,0.415778243506778,5.80711762685653,6.35574865084995e-09,5.17780447864107e-08,"Upregulated"
"ENSG00000006071",4.43565225758965,2.2579210518107,0.490473113242781,4.60355724064542,4.15334972744764e-06,2.22108339952317e-05,"Upregulated"
"ENSG00000006283",4.96430401472721,4.42304696022438,0.543616016953531,8.13634407796057,4.07392936859785e-16,7.83346661218472e-15,"Upregulated"
"ENSG00000006453",7.60967415025402,-1.6816658406012,0.185506879544669,-9.06524784810618,1.24321288127656e-19,3.44480355283561e-18,"Downregulated"
"ENSG00000006606",0.667033698584413,-4.86148151373181,1.12939832942341,-4.30448796237705,1.67372392182496e-05,8.04029489633075e-05,"Downregulated"
"ENSG00000006747",0.930371402988488,-3.11347108727827,0.414298550906114,-7.51504218508317,5.68925861173699e-14,8.73392959137301e-13,"Downregulated"
"ENSG00000007062",0.702348943053271,-4.93892354162532,1.07829364556447,-4.58031405632541,4.64278231289998e-06,2.46710721433974e-05,"Downregulated"
"ENSG00000007314",0.489120856708618,-1.68475753884875,0.414845676808119,-4.06116691828999,4.88280442104301e-05,0.000214416534260245,"Downregulated"
"ENSG00000008323",1.50314809682079,-4.81899400860009,0.403772144958711,-11.9349342661883,7.7820342364539e-33,7.49437455607773e-31,"Downregulated"
"ENSG00000008394",15.7055296892952,-3.16933510665327,0.255215639133086,-12.4182636981763,2.08027350221797e-35,2.46985985789322e-33,"Downregulated"
"ENSG00000008735",6.29432003516268,2.650362751777,0.346482594893951,7.64933878594453,2.020153651324e-14,3.24977280900876e-13,"Upregulated"
"ENSG00000009694",4.25688214970555,1.78545376080257,0.348162633914869,5.12821763991809,2.92498183933443e-07,1.88660337565745e-06,"Upregulated"
"ENSG00000009950",1.60580387878883,-2.14151111429262,0.314588429850198,-6.80734226402534,9.94182174573834e-12,1.18208943630153e-10,"Downregulated"
"ENSG00000010310",0.794203387121578,-4.09441276662773,0.467303776072454,-8.76177975928213,1.92191498752879e-18,4.72275047796016e-17,"Downregulated"
"ENSG00000010610",9.30936829290317,-1.65020096804878,0.189957159304177,-8.68722702578598,3.71393460429462e-18,8.84836785073247e-17,"Downregulated"
"ENSG00000010932",2.60380678929657,2.20394576087189,0.508679225183215,4.33268286134171,1.47303225361481e-05,7.15140065794735e-05,"Upregulated"
"ENSG00000011198",8.76736160765816,-1.58563836689965,0.121050484085195,-13.0989841047119,3.33694196908185e-39,5.26425640802006e-37,"Downregulated"
"ENSG00000012779",19.1938659646571,-2.98323802671675,0.197767174174225,-15.084596516956,2.04521058623221e-51,8.16768434675167e-49,"Downregulated"
"ENSG00000012817",6.50082758502222,-8.14800142794149,1.66353767381564,-4.8979963340731,9.68188408120546e-07,5.76191158930264e-06,"Downregulated"
"ENSG00000013588",12.4883781940986,-1.62222355935024,0.235421029054673,-6.89073344834248,5.55054571800211e-12,6.80507867891078e-11,"Downregulated"
"ENSG00000013619",13.1708308598743,1.63241994061301,0.190516072852219,8.56841061320457,1.049230880127e-17,2.3864267380505e-16,"Upregulated"
"ENSG00000013725",1.26726940584562,-1.51674838191463,0.255140743126513,-5.94475176064897,2.76876122962173e-09,2.3645643233324e-08,"Downregulated"
"ENSG00000014257",0.438851523211751,-2.53935799992737,0.517109529521567,-4.91067724525749,9.07623733890077e-07,5.42295210242671e-06,"Downregulated"
"ENSG00000016391",5.02644641960432,2.32790733912533,0.38306794383016,6.07700899179767,1.22444899357655e-09,1.10136766617057e-08,"Upregulated"
"ENSG00000016602",4.3609430358744,-7.57223861849295,1.43145948934105,-5.28987280106594,1.22401454064228e-07,8.34041550972429e-07,"Downregulated"
"ENSG00000018236",9.97940527729372,-2.67874513519657,0.203115857214251,-13.18826196997,1.02521684574751e-39,1.69704590223039e-37,"Downregulated"
"ENSG00000018280",10.127049487044,-1.70866141168554,0.290141166567026,-5.88906921379878,3.8837677697595e-09,3.25332780781391e-08,"Downregulated"
"ENSG00000018625",23.6212738978536,-2.04886642164668,0.293146703904218,-6.98921868934309,2.76421264921827e-12,3.51734973198656e-11,"Downregulated"
"ENSG00000019102",22.7632901704729,-4.17831061260586,0.262452024363831,-15.9202834222135,4.5829621926874e-57,2.67065107040808e-54,"Downregulated"
"ENSG00000019169",2.05014051274002,-6.48302331261271,1.18649282241754,-5.4640223607954,4.65464864978802e-08,3.37075418579881e-07,"Downregulated"
"ENSG00000023892",8.97313534076856,-1.79097683190979,0.15826359844089,-11.3164167221858,1.08829936795316e-29,7.96802568013706e-28,"Downregulated"
"ENSG00000025039",4.80334129949513,-2.30466367590552,0.149553390018682,-15.4103071526337,1.39546994554528e-53,6.73055448185021e-51,"Downregulated"
"ENSG00000026559",32.9884760156249,3.86863964814074,0.405248329326301,9.54634323742212,1.3435504445248e-21,4.59721262947409e-20,"Upregulated"
"ENSG00000026652",15.1124865845238,1.55308493136513,0.162048438501039,9.58407835170327,9.32867783653342e-22,3.24842764566311e-20,"Upregulated"
"ENSG00000026751",1.55821372846691,-2.57802607066933,0.328097278059524,-7.85750520673815,3.91859723286361e-15,6.79160093397193e-14,"Downregulated"
"ENSG00000030304",0.378912568781996,-4.04854583968132,1.51328010960376,-2.67534464636649,0.0074652462894324,0.0199936821787228,"Downregulated"
"ENSG00000030419",2.42410315212631,-2.62634527268746,0.234334612726686,-11.2076711251815,3.73901936923376e-29,2.61356080952511e-27,"Downregulated"
"ENSG00000034239",6.93025345502304,2.24384659477108,0.308305488428711,7.27799756730544,3.38811442384852e-13,4.73308313398095e-12,"Upregulated"
"ENSG00000039068",6.76565312579844,-5.00134154891283,0.462555690957744,-10.8124095037233,3.00667234014021e-27,1.76651279836139e-25,"Downregulated"
"ENSG00000040608",7.47977842094466,3.42696128513966,0.462492123542128,7.40977221167206,1.26516534711046e-13,1.86598818808843e-12,"Upregulated"
"ENSG00000041353",1.14098537057116,-3.24006302819047,0.329252345380568,-9.84066802757448,7.52097703287941e-23,2.88260373418575e-21,"Downregulated"
"ENSG00000041982",120.351703428076,1.52368298384066,0.360525807737115,4.22627992543515,2.37586409317034e-05,0.000110777960999977,"Upregulated"
"ENSG00000042062",62.907007123103,1.61206431943634,0.194327119028918,8.29562197747833,1.08018523660454e-16,2.21976316991767e-15,"Upregulated"
"ENSG00000042980",2.16939273829184,-2.37563152486508,0.341214927593855,-6.96227313856787,3.34825519319257e-12,4.21822540421004e-11,"Downregulated"
"ENSG00000046604",7.50504952408253,-3.15289607773179,0.25923015612567,-12.1625358903203,4.92070740097654e-34,5.22326688206261e-32,"Downregulated"
"ENSG00000047457",3.10387090757086,-2.45497081989595,0.441240174140299,-5.56379714217809,2.63966784630226e-08,1.98245859240702e-07,"Downregulated"
"ENSG00000048052",6.89079655376388,1.82592372032232,0.248432818349341,7.34976857105385,1.9855032619414e-13,2.8554046910841e-12,"Upregulated"
"ENSG00000049283",2.1725621364747,-4.83277304437734,0.445344729100787,-10.8517575904297,1.95626892544092e-27,1.16616498741211e-25,"Downregulated"
"ENSG00000049759",5.36210995136004,-1.76981792315721,0.159338629214143,-11.1072746884164,1.15634933819663e-28,7.73264613650268e-27,"Downregulated"
"ENSG00000050555",8.52442146924926,-3.05831818866784,0.366525877428731,-8.34407166588808,7.17754567598446e-17,1.50420285674907e-15,"Downregulated"
"ENSG00000050628",69.1265699435426,3.50871585338663,0.232584914836865,15.0857412908642,2.01004360922703e-51,8.08377256589699e-49,"Upregulated"
"ENSG00000052344",1.2762731246703,-5.80007698445273,1.44208606065995,-4.02200474900811,5.77048941749238e-05,0.000250297060347983,"Downregulated"
"ENSG00000053108",0.849315737989948,-5.21240348435295,1.62531541052196,-3.20701043662596,0.00134122129906275,0.00434899306988846,"Downregulated"
"ENSG00000053438",9.27269056216867,-2.47387680012946,0.242774202172187,-10.1900316343121,2.19692711826254e-24,9.77119266898264e-23,"Downregulated"
"ENSG00000053918",5.04990411466341,-2.14182679518152,0.205957325568406,-10.399371759516,2.49573181076903e-25,1.2213046465244e-23,"Downregulated"
"ENSG00000054690",4.17632962116101,-1.7107298260222,0.230660966107669,-7.4166420738204,1.2012701034207e-13,1.77495816471278e-12,"Downregulated"
"ENSG00000055732",9.37504193627584,2.57008088019758,0.353464651955657,7.27111145620299,3.56541602812271e-13,4.96618972034224e-12,"Upregulated"
"ENSG00000055813",12.2259768895904,2.07506003975724,0.289043673477269,7.1790536523209,7.01955975412165e-13,9.456782694937e-12,"Upregulated"
"ENSG00000056487",5.18097517055728,3.93016942271791,0.498690959646534,7.88097186582962,3.24844451291335e-15,5.67489046324428e-14,"Upregulated"
"ENSG00000056736",13.7313806206029,2.29020360440602,0.369848002889045,6.19228327993184,5.92988526470315e-10,5.57713912543919e-09,"Upregulated"
"ENSG00000060140",0.642326549763476,-4.36408047064752,0.840902335532411,-5.18975900796427,2.10566422577642e-07,1.38633009690616e-06,"Downregulated"
"ENSG00000060558",5.00208458902203,-2.69405590129396,0.225786235511248,-11.9318872348166,8.07224085421747e-33,7.76076651014564e-31,"Downregulated"
"ENSG00000060709",3.02196386413153,3.28857853842704,0.468118807639943,7.02509381113453,2.13922467899955e-12,2.75150547225915e-11,"Upregulated"
"ENSG00000061455",4.68795596181701,-3.85354441444191,0.187270829169035,-20.5773874742852,4.37641147283085e-94,1.31541108626539e-90,"Downregulated"
"ENSG00000062038",22.3305847584086,2.3498806986278,0.316118409565323,7.43354587244379,1.05724503660641e-13,1.5747822000657e-12,"Upregulated"
"ENSG00000062282",3.71446244940961,-4.04114199270239,0.27898238873771,-14.4852942545479,1.50078580452432e-47,4.51088819604079e-45,"Downregulated"
"ENSG00000063180",71.3450139692559,1.79706260040688,0.207781455255033,8.64881131090905,5.2038622779943e-18,1.22196614708758e-16,"Upregulated"
"ENSG00000064042",7.69417057406582,-1.76153730807084,0.128690081422469,-13.6882134862281,1.19409131375952e-42,2.54448383381264e-40,"Downregulated"
"ENSG00000064270",1.35501926576757,-4.16052837965724,0.50806555684661,-8.18895971905717,2.63493702057441e-16,5.17455238552143e-15,"Downregulated"
"ENSG00000064309",23.5864904915171,2.49404442429733,0.250470565924792,9.95743517841617,2.34022107911105e-23,9.49185691661034e-22,"Upregulated"
"ENSG00000064655",8.55197026198067,1.64181433143002,0.301727868968124,5.44137449763868,5.28710346608528e-08,3.80032605086467e-07,"Upregulated"
"ENSG00000064692",19.2837578826744,3.796372105508,0.327349793642654,11.5972949402627,4.2530993546188e-31,3.5099132650805e-29,"Upregulated"
"ENSG00000064787",3.82336787675876,-5.619724144802,0.584619311132448,-9.61262147484695,7.07249957297199e-22,2.49472702664166e-20,"Downregulated"
"ENSG00000064886",1.01991415149956,-5.47663625742566,0.94991841793258,-5.7653753775457,8.14762892041194e-09,6.5525248892675e-08,"Downregulated"
"ENSG00000065325",4.89103060552988,-3.26742520386617,0.266389718371327,-12.2655830106462,1.38611009341951e-34,1.54907974980433e-32,"Downregulated"
"ENSG00000065361",6.17845861268565,-3.37856559434702,0.241584929872952,-13.9850014490713,1.92472927019704e-44,4.79988817303113e-42,"Downregulated"
"ENSG00000065618",2.27673412206245,-5.61531867524067,0.536384485330288,-10.4688312746088,1.20116797803992e-25,6.03840676847745e-24,"Downregulated"
"ENSG00000065833",11.7926052453627,-2.34205110057799,0.163956318818599,-14.2846040790244,2.72956331194048e-46,7.75521898598493e-44,"Downregulated"
