Sample_ID,Tissue
GTEX-144GL-0011-R4a-SM-5PNUI,brain
GTEX-15DDE-0011-R4b-SM-7KULI,brain
GTEX-145MI-0011-R4b-SM-5PNZH,brain
GTEX-147GR-0011-R4a-SM-5S2V2,brain
GTEX-1JJEA-0011-R4a-SM-EXUTC,brain
GTEX-12ZZZ-0011-R4b-SM-5DUV7,brain
GTEX-14JFF-0011-R4a-SM-5ZZV5,brain
GTEX-14DAQ-0011-R4a-SM-5YYAI,brain
GTEX-1H2FU-0011-R4a-SM-CL551,brain
GTEX-1H1CY-0011-R4b-SM-CJI3G,brain
GTEX-11ZVC-0011-R4a-SM-5BC6Z,brain
GTEX-12WSH-0011-R4a-SM-5GU6K,brain
GTEX-1JN6P-0011-R4a-SM-EZ6MS,brain
GTEX-11ZU8-0011-R4a-SM-5BC6Y,brain
GTEX-Y8DK-0011-R4A-SM-EXUR1,brain
GTEX-1E1VI-0011-R4b-SM-9QEHV,brain
GTEX-QDT8-0011-R4A-SM-32PKM,brain
GTEX-13OW7-0011-R4b-SM-5O9CX,brain
GTEX-14E7W-0011-R4b-SM-62LEA,brain
GTEX-13OVL-0011-R4b-SM-5L3HV,brain
GTEX-1CB4G-0011-R4b-SM-CJI28,brain
GTEX-13OW6-0011-R4a-SM-5O9DX,brain
GTEX-OHPN-0011-R4A-SM-2I5FD,brain
GTEX-1GZ4I-0011-R4a-SM-9QEI9,brain
GTEX-ZE9C-0011-R4a-SM-4WKH6,brain
GTEX-13112-0011-R4b-SM-5DUXL,brain
GTEX-183WM-0011-R4a-SM-7LG6S,brain
GTEX-13PVQ-0011-R4a-SM-5O9CT,brain
GTEX-1J8EW-0011-R4b-SM-ARU89,brain
GTEX-13JVG-0011-R4a-SM-5MR4C,brain
GTEX-14ASI-0011-R4a-SM-69LQ4,brain
GTEX-17EVQ-0011-R4b-SM-7LT94,brain
GTEX-T6MN-0011-R4A-SM-32QPG,brain
GTEX-QMR6-0011-R4A-SM-32PKU,brain
GTEX-N7MS-0011-R4a-SM-2HMKW,brain
GTEX-X4XX-0011-R4B-SM-46MWL,brain
GTEX-1N2EE-0011-R4a-SM-EXOII,brain
GTEX-1399T-0011-R4b-SM-5DUVX,brain
GTEX-1EX96-0011-R4a-SM-ARU82,brain
GTEX-ZVZQ-0011-R4b-SM-57WCZ,brain
GTEX-17F97-0011-R4b-SM-7KFS2,brain
GTEX-UTHO-0011-R4A-SM-3GIJP,brain
GTEX-1I1GR-0011-R4a-SM-CMKHC,brain
GTEX-1N2DW-0011-R4b-SM-EZ6MD,brain
GTEX-1H23P-0011-R4b-SM-CL54R,brain
GTEX-13SLW-0011-R4b-SM-5S2W2,brain
GTEX-15ER7-0011-R4a-SM-6M46S,brain
GTEX-14PJM-0011-R4a-SM-5YYAS,brain
GTEX-15CHQ-0011-R4a-SM-686ZX,brain
GTEX-1H1DG-0011-R4a-SM-CE6RQ,brain
GTEX-YFC4-0011-R4a-SM-4RGLQ,brain
GTEX-18464-0011-R4a-SM-7LG6T,brain
GTEX-1HCU6-0011-R4b-SM-ARU74,brain
GTEX-11NUK-0011-R4a-SM-DO12B,brain
GTEX-12WSA-0011-R4a-SM-57WB7,brain
GTEX-13SLX-0011-R4a-SM-5O9BJ,brain
GTEX-P44H-0011-R4A-SM-2XCEW,brain
GTEX-X4EP-0011-R4B-SM-3P627,brain
GTEX-12ZZW-0011-R4a-SM-5DUX9,brain
GTEX-NL4W-0011-R4a-SM-2I5GZ,brain
GTEX-1HBPI-0011-R4a-SM-CJI3K,brain
GTEX-12WSD-0011-R4b-SM-5LZUA,brain
GTEX-139T8-0011-R4a-SM-5HL54,brain
GTEX-13X6J-0011-R4b-SM-5P9K4,brain
GTEX-N7MT-0011-R4a-SM-2I3G9,brain
GTEX-1H3O1-0011-R4b-SM-A9SKE,brain
GTEX-131YS-0011-R4a-SM-5DUVL,brain
GTEX-13OVH-0011-R4a-SM-5KM3W,brain
