"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation_status"
"ENSG00000001461",14.9833219341989,-2.23264452818467,0.0935740549669516,-23.8596535008897,8.04024802524879e-126,4.14740923084613e-125,"Downregulated"
"ENSG00000001617",10.7136400474867,2.79756612870072,0.134342826197024,20.8240827433381,2.61892382960115e-96,9.32033290861238e-96,"Upregulated"
"ENSG00000001626",0.477574927241385,2.62677205498275,0.291743349518773,9.00370842836889,2.18219168437605e-19,3.16652923320426e-19,"Upregulated"
"ENSG00000002587",1.96169393116654,1.95850312724473,0.164181971207818,11.9288562126332,8.371582635352e-33,1.42081156218682e-32,"Upregulated"
"ENSG00000002933",76.0775161365714,2.68738397972819,0.0924404752669333,29.0715076049537,8.23028315073129e-186,9.12093116305222e-185,"Upregulated"
"ENSG00000003249",17.5451175769398,-2.00681650103885,0.0980662510192503,-20.4638851815077,4.51898969051838e-93,1.53950732008046e-92,"Downregulated"
"ENSG00000003436",7.41428685785652,3.71145895781739,0.139047075361994,26.6921037221028,5.81302582302157e-157,4.44225996752453e-156,"Upregulated"
"ENSG00000003987",2.60968613040071,-3.14513020477431,0.206282754370837,-15.2466948309226,1.7318022495908e-52,3.64522668100978e-52,"Downregulated"
"ENSG00000004455",24.9079405332723,1.66474964234383,0.0583315889480264,28.539418732912,3.8008291423514e-179,3.8764625403113e-178,"Upregulated"
"ENSG00000004468",2.08457069894322,-2.1367969672013,0.19418527615968,-11.0039082749209,3.65921057689128e-28,5.8865742163234e-28,"Downregulated"
"ENSG00000004660",15.3274066506355,-3.1120579391922,0.131027796308256,-23.7511278284096,1.06964701806379e-124,5.44159867702494e-124,"Downregulated"
"ENSG00000004777",18.8001030805133,-1.71129079587539,0.0747195947130192,-22.9028383043038,4.35323811063635e-116,1.98779939906317e-115,"Downregulated"
"ENSG00000004848",3.70491848727071,-5.21980466432123,0.230282843054535,-22.6669281787748,9.49959173984227e-114,4.21367735081071e-113,"Downregulated"
"ENSG00000004939",12.4530521329438,7.00352308066202,0.262155230346978,26.7151758574202,3.13656935202969e-157,2.40602446648113e-156,"Upregulated"
"ENSG00000005249",12.0772752468327,-1.67033201318113,0.0988850373884495,-16.8916557782102,5.18278640199775e-64,1.25034869086124e-63,"Downregulated"
"ENSG00000005379",45.7523702315212,-2.71705491546952,0.101392287964728,-26.7974514631203,3.45995765614719e-158,2.69052234355853e-157,"Downregulated"
"ENSG00000005381",0.563055684887493,-1.69085106325053,0.258158168096515,-6.54967098549593,5.76639840612415e-11,7.55965757105242e-11,"Downregulated"
"ENSG00000005421",0.558791742987829,-2.41770104713894,0.260286505869059,-9.28861463281237,1.56309507949221e-20,2.2988697415211e-20,"Downregulated"
"ENSG00000005513",42.4472416607061,-6.35463913376923,0.179111185196711,-35.4787397938894,1.04591701665315e-275,3.39236397866991e-274,"Downregulated"
"ENSG00000005884",32.4264897036985,3.74642789694576,0.0918230989478239,40.8004950810316,0,0,"Upregulated"
"ENSG00000005981",0.778055530954142,-2.83223539988872,0.251621833041333,-11.255920703127,2.16552690905112e-29,3.5403852721795e-29,"Downregulated"
