Gene_ID,GTEX-N7MT-0826-SM-EV794,GTEX-P78B-2326-SM-EZ6KO,GTEX-Q2AG-2326-SM-EZ6KY,GTEX-S32W-1526-SM-4AD6Z,GTEX-S341-1126-SM-4AD6T,GTEX-S4UY-1426-SM-4AD6Y,GTEX-T5JW-0726-SM-4DM6D,GTEX-TSE9-2826-SM-4DXTF,GTEX-U3ZN-1626-SM-4DXTZ,GTEX-OHPK-2326-SM-3MJH2,GTEX-PLZ4-2326-SM-EYYV5,GTEX-S32W-1326-SM-4AD5Q,GTEX-S341-0826-SM-4AD73,GTEX-SE5C-0926-SM-4BRUF,GTEX-T5JW-0326-SM-4DM6J,GTEX-T6MO-1026-SM-4DM72,GTEX-TSE9-2326-SM-EZ6ME,GTEX-U3ZN-1126-SM-4DXUL
ENSG00000000003,33.3,47.82,36.18,19.73,40.92,45.47,24.61,31.09,25.16,31.3,15.02,26.97,31.81,10.17,16.87,20.53,14.29,80.66
ENSG00000000419,69.28,74.14,75.73,69.78,64.61,63.21,53.9,68.08,51.79,63.38,83.92,63.95,62.53,57.69,68.85,66.86,74.39,48.21
ENSG00000000457,12.69,10.45,11.19,7.935,11.57,10.6,9.181,8.592,7.484,7.192,9.575,9.619,9.419,5.027,8.492,9.414,7.38,8.814
ENSG00000001036,33.38,52.27,72.17,51.54,54.07,56.09,34.54,55.39,12.85,37.67,30.16,45.08,47.74,63.84,53.98,34.76,48.29,27.19
ENSG00000001084,13.55,10.2,10.6,10.62,13.16,12.2,36.69,10.79,29.03,10.52,10.88,39.83,12.54,11.17,13.48,13.08,18.66,72.41
ENSG00000001167,30.37,26.47,23.0,24.28,22.41,27.02,13.38,23.46,16.84,17.35,18.86,25.12,20.84,22.6,18.64,23.42,24.78,18.63
ENSG00000001497,61.28,55.95,49.72,33.72,34.19,34.05,19.89,52.26,12.08,30.18,51.2,38.05,25.22,20.61,37.23,53.74,53.6,43.35
ENSG00000001617,24.7,33.13,15.48,27.48,22.42,30.94,78.59,13.57,153.2,19.66,25.55,43.91,14.92,22.91,26.55,20.32,22.83,55.32
ENSG00000001629,30.05,23.66,26.65,22.94,26.25,23.7,17.13,19.49,14.67,16.48,20.25,22.35,18.82,21.05,20.21,17.33,16.57,17.73
ENSG00000001631,34.76,27.95,31.81,22.82,29.62,28.64,23.04,21.01,16.48,23.04,29.84,25.18,24.2,18.04,23.29,23.38,22.72,26.36
ENSG00000002016,46.49,39.7,45.36,17.9,14.3,12.92,6.63,41.65,7.039,8.961,41.32,30.94,11.08,7.672,7.28,16.14,31.44,24.68
ENSG00000002330,47.76,76.47,76.27,63.8,63.51,62.85,47.62,67.22,45.87,53.54,56.99,71.65,53.75,51.21,70.29,64.38,54.59,71.2
ENSG00000002549,38.86,29.85,29.58,64.92,37.51,38.12,33.51,20.88,59.92,42.19,41.76,58.06,40.01,76.87,57.41,34.34,26.9,53.16
ENSG00000002822,8.177,9.828,13.77,8.318,11.19,12.67,10.04,10.03,7.574,6.666,8.45,6.658,5.593,7.328,7.685,7.315,6.846,8.071
ENSG00000002834,49.36,66.1,96.33,55.52,87.05,69.4,29.79,55.49,34.87,60.08,56.69,59.03,67.79,79.5,59.26,55.31,83.31,54.99
ENSG00000002919,16.27,17.27,23.66,20.69,12.62,16.12,19.34,11.7,16.14,18.4,19.01,19.27,14.54,18.02,17.88,17.05,12.83,14.29
