"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation_status"
"ENSG00000005059",9.88342104906835,-6.73822594342545,0.70140979518348,-9.60668925597598,7.49192042192473e-22,2.72973023719805e-20,"Downregulated"
"ENSG00000005073",37.2457157040398,-8.66933063977293,0.811478429726494,-10.6833777980949,1.21759053183581e-26,1.50228533618869e-24,"Downregulated"
"ENSG00000006534",9.08737815333848,-6.6386390332418,0.749084055438597,-8.86234192951125,7.83508582007856e-19,1.22040303844804e-17,"Downregulated"
"ENSG00000011198",7.08823360436561,-6.2444324258005,0.852997845165529,-7.32057233343741,2.46915574355871e-13,1.11382833209325e-12,"Downregulated"
"ENSG00000011600",54.0538978385189,1.71846704597625,0.408389456384582,4.20791237166016,2.5774077044031e-05,0.000109314304262997,"Upregulated"
"ENSG00000013016",6.61836659378287,-6.14524284371137,0.735662266348225,-8.35334789456568,6.63548436954997e-17,5.81762234260544e-16,"Downregulated"
"ENSG00000013588",24.4893724959195,-8.05673042187192,1.048201601391,-7.68624128333744,1.51520630023044e-14,7.77633105769702e-14,"Downregulated"
"ENSG00000016082",8.08422905368236,-6.4680974875329,0.769868048358188,-8.40156634806015,4.4056213913441e-17,4.08051138694191e-16,"Downregulated"
"ENSG00000023572",5.38370661290052,-5.86666958210606,0.708266027057792,-8.28314412661694,1.19965088005626e-16,9.82401151093536e-16,"Downregulated"
"ENSG00000029639",4.57615515163866,-5.58905511161328,0.720866372932528,-7.75324709471004,8.9572083555525e-15,4.77762082805032e-14,"Downregulated"
"ENSG00000041982",21.6045687887974,-7.88021531250576,0.757318251475551,-10.4054210989264,2.34218234319541e-25,2.09842802913694e-23,"Downregulated"
"ENSG00000049130",7.43406276004969,-6.34870927192448,0.77411842221388,-8.2012119718944,2.37975483670831e-16,1.79899921892714e-15,"Downregulated"
"ENSG00000052795",5.47264717237969,-5.91395534729189,0.715935417527943,-8.26045925722213,1.45113048309112e-16,1.15896878677007e-15,"Downregulated"
"ENSG00000053438",7.88369522184458,-6.44075740706535,0.719551855622787,-8.95106774686967,3.52060215521039e-19,6.01278680165883e-18,"Downregulated"
"ENSG00000057657",14.5310524749735,-7.29996177589555,1.03842753503266,-7.02982300605691,2.06795692326512e-12,9.09668691526175e-12,"Downregulated"
"ENSG00000064205",140.299084335841,-3.10030240829517,0.500891889225463,-6.18956400569636,6.03308520988835e-10,2.63057504182709e-09,"Downregulated"
