Gene stable ID,Transcript stable ID,Gene type
ENSG00000198888,ENST00000361390,protein_coding
ENSG00000198763,ENST00000361453,protein_coding
ENSG00000198804,ENST00000361624,protein_coding
ENSG00000198712,ENST00000361739,protein_coding
ENSG00000228253,ENST00000361851,protein_coding
ENSG00000198899,ENST00000361899,protein_coding
ENSG00000198938,ENST00000362079,protein_coding
ENSG00000198840,ENST00000361227,protein_coding
ENSG00000212907,ENST00000361335,protein_coding
ENSG00000198886,ENST00000361381,protein_coding
ENSG00000198786,ENST00000361567,protein_coding
ENSG00000198695,ENST00000361681,protein_coding
ENSG00000198727,ENST00000361789,protein_coding
ENSG00000278704,ENST00000618686,protein_coding
ENSG00000277630,ENST00000616049,protein_coding
ENSG00000271254,ENST00000614336,protein_coding
ENSG00000277400,ENST00000613230,protein_coding
ENSG00000278633,ENST00000619792,protein_coding
ENSG00000273748,ENST00000612919,protein_coding
ENSG00000277196,ENST00000621424,protein_coding
ENSG00000274847,ENST00000400754,protein_coding
ENSG00000276256,ENST00000612465,protein_coding
ENSG00000278817,ENST00000613204,protein_coding
ENSG00000276017,ENST00000617983,protein_coding
ENSG00000268674,ENST00000601199,protein_coding
ENSG00000277475,ENST00000612315,protein_coding
ENSG00000276345,ENST00000612848,protein_coding
ENSG00000275063,ENST00000618003,protein_coding
ENSG00000277856,ENST00000619729,protein_coding
ENSG00000274175,ENST00000616638,protein_coding
ENSG00000278384,ENST00000612565,protein_coding
ENSG00000273554,ENST00000613216,protein_coding
ENSG00000275869,ENST00000621028,protein_coding
ENSG00000277836,ENST00000611746,protein_coding
ENSG00000288499,ENST00000672066,protein_coding
ENSG00000288431,ENST00000672062,protein_coding
ENSG00000288260,ENST00000673158,protein_coding
ENSG00000288297,ENST00000673382,protein_coding
ENSG00000288274,ENST00000671802,protein_coding
ENSG00000288243,ENST00000672102,protein_coding
ENSG00000288319,ENST00000672259,protein_coding
ENSG00000261958,ENST00000573911,protein_coding
ENSG00000262191,ENST00000571130,protein_coding
ENSG00000262647,ENST00000575017,protein_coding
ENSG00000281107,ENST00000631283,protein_coding
ENSG00000169789,ENST00000303728,protein_coding
ENSG00000114374,ENST00000457658,protein_coding
ENSG00000288263,ENST00000672946,protein_coding
ENSG00000169807,ENST00000303804,protein_coding
ENSG00000198692,ENST00000361365,protein_coding
ENSG00000183753,ENST00000602732,protein_coding
ENSG00000291426,ENST00000707519,protein_coding
ENSG00000291428,ENST00000707533,protein_coding
ENSG00000291431,ENST00000707550,protein_coding
ENSG00000291433,ENST00000707558,protein_coding
ENSG00000291434,ENST00000707559,protein_coding
ENSG00000291435,ENST00000707560,protein_coding
ENSG00000291440,ENST00000707567,protein_coding
ENSG00000291443,ENST00000707575,protein_coding
ENSG00000291442,ENST00000707569,protein_coding
ENSG00000236424,ENST00000428845,protein_coding
ENSG00000258992,ENST00000451548,protein_coding
ENSG00000244395,ENST00000382653,protein_coding
ENSG00000169953,ENST00000344884,protein_coding
ENSG00000291455,ENST00000707589,protein_coding
ENSG00000012817,ENST00000469599,protein_coding
ENSG00000291458,ENST00000707597,protein_coding
ENSG00000291459,ENST00000707602,protein_coding
ENSG00000172468,ENST00000307393,protein_coding
ENSG00000176679,ENST00000321217,protein_coding
ENSG00000169800,ENST00000303766,protein_coding
ENSG00000182415,ENST00000250838,protein_coding
ENSG00000185894,ENST00000382287,protein_coding
ENSG00000205916,ENST00000415508,protein_coding
ENSG00000129873,ENST00000382867,protein_coding
ENSG00000184895,ENST00000383070,protein_coding
ENSG00000129824,ENST00000250784,protein_coding
ENSG00000284255,ENST00000639310,protein_coding
ENSG00000292249,ENST00000710319,protein_coding
ENSG00000067646,ENST00000383052,protein_coding
ENSG00000067048,ENST00000360160,protein_coding
ENSG00000183878,ENST00000682216,protein_coding
