TF_gene,tissue_bladder,TF_transcript_id_bladder,target_gene_bladder,target_transcript_id_bladder,importance_bladder,bladder_percentage,bladder_opposite_percentage,tissue_uterus,TF_transcript_id_uterus,target_gene_uterus,target_transcript_id_uterus,importance_uterus,uterus_percentage,uterus_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
SOX15,bladder,SOX15-203,HLA-E,HLA-E-203,7.219882164647488,0.0,0.0,uterus,SOX15-202,SOX15,0,4.491072697828715,0.9054254728726356,0.09457452712736436,0.0,0,True
BHLHE40,bladder,BHLHE40-203,PLXNC1,PLXNC1-201,6.828079340097657,0.2553193998867711,0.7446806001132289,uterus,BHLHE40-203,BHLHE40,BHLHE40-201,5.689118103148956,0.7446806001132288,0.2553193998867712,-1.50906399834479,Downregulated,True
MLXIP,bladder,MLXIP-209,ACOT8,ACOT8-208,6.783728692465625,0.1156954032214909,0.8843045967785091,uterus,MLXIP-207,CYRIB,CYRIB-225,5.38441998001514,0.9257159728373191,0.0742840271626809,0.0,0,True
DDIT3,bladder,DDIT3-201,LCN10,LCN10-204,6.6755865252146975,0.1486538837653643,0.8513461162346357,uterus,DDIT3-205,F5,0,5.207273312327772,0.7953747427049279,0.20462525729507208,0.0,0,True
HOXC6,bladder,HOXC6-201,HOXC9,0,6.658875725815277,0.02084870168191207,0.9791512983180879,uterus,HOXC6-201,AARSD1,AARSD1-213,6.001827030323881,0.979151298318088,0.020848701681911996,2.62910129686342,Upregulated,True
ING4,bladder,ING4-213,CAMSAP2,CAMSAP2-205,6.610507075567658,0.08791208791208793,0.9120879120879121,uterus,ING4-213,ING4,0,5.37501787385398,0.9120879120879121,0.08791208791208793,0.0,0,True
AEBP1,bladder,AEBP1-204,DDX1,DDX1-205,6.5923426494014565,0.04548636616007478,0.9545136338399253,uterus,AEBP1-207,AEBP1,AEBP1-204,4.588891491038387,0.9505082262991478,0.049491773700852226,0.0,0,True
NFIA,bladder,NFIA-207,COMMD5,COMMD5-203,6.44978348816443,0.17316895675555669,0.8268310432444433,uterus,NFIA-207,NFIA,0,4.695887022871508,0.8268310432444433,0.17316895675555666,0.0,0,True
ZNF384,bladder,ZNF384-202,ENSG00000271698,ENST00000531225,6.441336413848788,0.10987740133983677,0.8901225986601632,uterus,ZNF384-213,PBX2,PBX2-203,4.459680524144511,0.9355993183109259,0.06440068168907409,0.0,0,True
NACC2,bladder,NACC2-202,ACO1,ACO1-202,6.420207502838296,0.15146487549982743,0.8485351245001725,uterus,NACC2-202,TPM1,0,6.303714955363836,0.8485351245001725,0.15146487549982746,0.0,0,True
