TF_gene,tissue_brain,TF_transcript_id_brain,target_gene_brain,target_transcript_id_brain,importance_brain,brain_percentage,brain_opposite_percentage,tissue_kidney,TF_transcript_id_kidney,target_gene_kidney,target_transcript_id_kidney,importance_kidney,kidney_percentage,kidney_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
RNF14,brain,RNF14-203,CCDC91,CCDC91-201,6.842457294894033,0.6497460265443223,0.35025397345567766,kidney,RNF14-203,FBXO8,0,9.005725190655832,0.3502539734556776,0.6497460265443225,0.0,0,True
WWTR1,brain,WWTR1-201,RPS9,RPS9-201,5.3924115236963415,0.36587384149801394,0.6341261585019861,kidney,WWTR1-201,CCL20,0,7.209463149576072,0.6341261585019862,0.36587384149801383,0.0,0,True
NFYA,brain,NFYA-201,ATXN1L,ATXN1L-201,4.846823721813587,0.6785982056358199,0.32140179436418015,kidney,NFYA-201,KPNA3,0,8.592264485432509,0.32140179436418004,0.67859820563582,0.0,0,True
HIVEP2,brain,HIVEP2-202,ASNS,ASNS-202,4.580146829378761,0.7410049999455344,0.25899500005446563,kidney,HIVEP2-202,ANKLE2,0,7.750426875916877,0.2589950000544657,0.7410049999455344,0.0,0,True
ZNF263,brain,ZNF263-201,SGTA,0,4.539093065721204,0.5848475310231684,0.41515246897683156,kidney,ZNF263-201,KAT8,0,8.762494502465362,0.41515246897683156,0.5848475310231684,0.0,0,True
NFIX,brain,NFIX-202,NFIX,0,4.4772423080832775,0.8966248794599807,0.1033751205400193,kidney,NFIX-202,TMEM39A,0,7.92940730215969,0.10337512054001928,0.8966248794599807,-2.64524495076415,Downregulated,True
GTF2IRD1,brain,GTF2IRD1-205,PHKG2,PHKG2-210,4.209747297040817,0.39562198067632875,0.6043780193236712,kidney,GTF2IRD1-204,TRIB3,0,7.070916696263964,0.0,0.0,3.11478279172857,Upregulated,True
TMEM232,brain,TMEM232-213,FOXJ1,FOXJ1-201,8.472033837982142,0.0,0.0,kidney,0,ZMYND11,ZMYND11-214,5.181245817246509,0.27358720132542913,0.7264127986745709,0.0,0,False
ABITRAM,brain,0,TSG101,TSG101-201,7.9852697533924175,0.0,0.0,kidney,0,KMT2E,KMT2E-208,4.588434968694068,0.18923159344864526,0.8107684065513547,0.0,0,False
EPB41L1,brain,EPB41L1-202,SREBF2,SREBF2-201,7.562730353151783,0.0,0.0,kidney,0,RNF14,RNF14-203,4.481429210605683,0.3502539734556776,0.6497460265443225,-1.73580732040644,Downregulated,False
TEX9,brain,0,FOXJ1,FOXJ1-201,7.278125378652971,0.0,0.0,kidney,0,ZMYND11,ZMYND11-214,4.580651436520513,0.27358720132542913,0.7264127986745709,0.0,0,False
TFAP2C,brain,0,TFAP2C,TFAP2C-201,7.155783873683332,0.0,0.0,kidney,0,JARID2,JARID2-202,4.959585729444135,0.28022516465735325,0.7197748353426467,0.0,0,False
ANXA7,brain,ANXA7-201,CDC5L,CDC5L-201,6.993853887412977,0.0,0.0,kidney,0,NFYA,NFYA-201,4.703516874305631,0.32140179436418004,0.67859820563582,-7.21866232365642,Downregulated,False
ZNF335,brain,0,ZNF335,ZNF335-201,6.963698549264111,0.0,0.0,kidney,0,NFIX,NFIX-202,4.552502889321717,0.10337512054001928,0.8966248794599807,0.0,0,False
CCDC91,brain,CCDC91-201,RNF14,RNF14-203,6.842457294894033,0.6497460265443223,0.35025397345567766,kidney,0,ZMYND11,ZMYND11-206,4.459155664610754,0.26965605644939095,0.730343943550609,-5.66729204464936,Downregulated,False
DVL1,brain,DVL1-205,DEAF1,DEAF1-201,6.798428643240703,0.0,0.0,kidney,0,ZNF263,ZNF263-201,7.509596172407198,0.41515246897683156,0.5848475310231684,-5.36388331019319,Downregulated,False
NBEA,brain,0,TSC22D1,TSC22D1-203,6.790416415170301,0.0,0.0,kidney,0,NFYA,NFYA-201,5.412269425672568,0.32140179436418004,0.67859820563582,0.0,0,False
DDB1,brain,0,SP2,SP2-201,6.779353577401181,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.579484628773029,0.4415698760249729,0.5584301239750271,0.0,0,False
MKNK1,brain,0,MLXIP,MLXIP-201,6.726070049499718,0.0,0.0,kidney,0,NFIX,NFIX-202,5.315397962168257,0.10337512054001928,0.8966248794599807,0.0,0,False
TEKT2,brain,0,RFX2,RFX2-201,6.699322453654114,0.0,0.0,kidney,0,ZNF263,ZNF263-201,4.447481778774879,0.41515246897683156,0.5848475310231684,0.0,0,False
WDR93,brain,0,FOXJ1,FOXJ1-201,6.657144432414487,0.0,0.0,kidney,0,ZNF263,ZNF263-201,4.595436765848248,0.41515246897683156,0.5848475310231684,0.0,0,False
FKBP8,brain,0,PIN1,PIN1-201,6.604550035860003,0.0,0.0,kidney,0,ZNF263,ZNF263-201,4.615865141418221,0.41515246897683156,0.5848475310231684,0.0,0,False
IDH3B,brain,IDH3B-201,GTF2F1,GTF2F1-201,6.513712812043881,0.0,0.0,kidney,0,NFYA,NFYA-201,4.748231551801767,0.32140179436418004,0.67859820563582,-7.0254421021627,Downregulated,False
ZBTB44,brain,ZBTB44-205,CREBRF,CREBRF-201,6.496589048621242,0.0,0.0,kidney,0,ZMYND11,ZMYND11-214,4.6389540644732286,0.27358720132542913,0.7264127986745709,-3.71895490698565,Downregulated,False
GRK3,brain,0,RBFOX2,RBFOX2-205,6.496154183078503,0.0,0.0,kidney,0,CREBBP,CREBBP-201,5.134318191420129,0.4415698760249729,0.5584301239750271,-2.13260265198277,Downregulated,False
TTC1,brain,TTC1-201,EID1,EID1-201,6.482607090825979,0.0,0.0,kidney,0,NFYA,NFYA-201,5.539951101535181,0.32140179436418004,0.67859820563582,-7.79039016250412,Downregulated,False
PHB2,brain,PHB2-203,NPM1,NPM1-204,6.395940854822986,0.0,0.0,kidney,0,RNF14,RNF14-203,4.737985504526521,0.3502539734556776,0.6497460265443225,-7.79884099425908,Downregulated,False
VPS13D,brain,VPS13D-212,TBL1XR1,TBL1XR1-232,6.314550741434036,0.0,0.0,kidney,0,CREBBP,CREBBP-201,5.486625208273669,0.4415698760249729,0.5584301239750271,-4.87973738722467,Downregulated,False
C17orf75,brain,0,GTF2F1,GTF2F1-201,6.298355797221865,0.0,0.0,kidney,0,ZMYND11,ZMYND11-214,4.350534030137101,0.27358720132542913,0.7264127986745709,0.0,0,False
NAA60,brain,0,NAB2,NAB2-201,6.295202935580189,0.0,0.0,kidney,0,RNF14,RNF14-203,4.694439091070638,0.3502539734556776,0.6497460265443225,0.0,0,False
SOX4,brain,0,SOX4,SOX4-201,6.279466916408005,0.0,0.0,kidney,0,CREBBP,CREBBP-201,4.684826090036507,0.4415698760249729,0.5584301239750271,0.0,0,False
PRKAR2A,brain,0,ZNF134,ZNF134-201,6.258145985075437,0.0,0.0,kidney,0,NFIX,NFIX-202,5.944211920450871,0.10337512054001928,0.8966248794599807,0.0,0,False
