TF_gene,tissue_cervix_ectocervix,TF_transcript_id_cervix_ectocervix,target_gene_cervix_ectocervix,target_transcript_id_cervix_ectocervix,importance_cervix_ectocervix,cervix_ectocervix_percentage,cervix_ectocervix_opposite_percentage,tissue_fallopian_tube,TF_transcript_id_fallopian_tube,target_gene_fallopian_tube,target_transcript_id_fallopian_tube,importance_fallopian_tube,fallopian_tube_percentage,fallopian_tube_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
SMAD7,cervix_ectocervix,SMAD7-202,NOL10,0,6.830753546563417,0.6072034594121188,0.39279654058788116,fallopian_tube,SMAD7-202,EXT2,EXT2-201,4.589050545879223,0.39279654058788116,0.6072034594121188,0.0,0,True
SMARCA4,cervix_ectocervix,SMARCA4-209,KIFC3,0,6.606288327338179,0.48836459263669746,0.5116354073633025,fallopian_tube,SMARCA4-209,ZMYND11,ZMYND11-214,6.104163536313443,0.5116354073633026,0.4883645926366974,0.0,0,True
DRAP1,cervix_ectocervix,DRAP1-208,DNLZ,DNLZ-201,6.369502706685467,0.0,0.0,fallopian_tube,DRAP1-201,NUP188,NUP188-201,3.9707787228535896,0.49078647213911597,0.509213527860884,-6.41528036068597,Downregulated,True
NAB2,cervix_ectocervix,NAB2-201,PLOD1,PLOD1-201,6.158510475345121,0.49610090063703594,0.5038990993629641,fallopian_tube,NAB2-201,SDAD1,SDAD1-201,5.776934403022423,0.5038990993629641,0.49610090063703594,0.0,0,True
TBX3,cervix_ectocervix,TBX3-201,TMEM179B,TMEM179B-205,5.885158440214633,0.0,0.0,fallopian_tube,TBX3-202,RANBP3,RANBP3-202,3.612979135509236,0.4278721566369133,0.5721278433630868,-5.84697287641156,Downregulated,True
USF1,cervix_ectocervix,USF1-207,BCS1L,BCS1L-220,5.761874892115868,0.0,0.0,fallopian_tube,USF1-204,SECISBP2,0,3.4637282474524835,0.4844807973565895,0.5155192026434106,-5.86739319554601,Downregulated,True
KLF13,cervix_ectocervix,KLF13-204,PSMG4,PSMG4-206,5.731954436301884,0.353518884391844,0.646481115608156,fallopian_tube,KLF13-204,SFRP4,SFRP4-201,3.5391147758273576,0.646481115608156,0.353518884391844,0.0,0,True
MAFK,cervix_ectocervix,MAFK-201,MYC,MYC-205,5.70985988299153,0.45638600395647877,0.5436139960435212,fallopian_tube,MAFK-201,SAMD11,SAMD11-201,4.1862081990181546,0.5436139960435213,0.45638600395647866,0.0,0,True
JDP2,cervix_ectocervix,JDP2-201,CCN1,0,5.674061643659746,0.497228418100307,0.502771581899693,fallopian_tube,JDP2-201,ZC3H12A,0,3.201951843036072,0.5027715818996931,0.49722841810030693,0.0,0,True
DAXX,cervix_ectocervix,DAXX-202,C1QTNF1,0,5.56846934050344,0.47836716312284877,0.5216328368771512,fallopian_tube,DAXX-201,DCAF6,0,3.612320983738388,0.0,0.0,5.7717329069341,Upregulated,True
